sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
118,14.83,12.9825,0.84,3.88,12.9825,-7.270502208284669,1.288659793814433,5.711997791715331,,0,0,0
119,1.06,0.4603333333333333,0.05,1.5533333333333337,0.4603333333333333,0.7189606024673594,3.218884120171673,1.1792939358006926,91.0786291031693,0,0,0
120,5.34,3.634,0.24,2.1675,3.634,-0.6237132554464417,2.306805074971165,3.010286744553558,,0,0,0
121,15.72,12.52,0.58,3.8475,12.52,-5.540985447527513,1.299545159194282,6.979014552472487,,0,0,0
122,1.46,0.5153333333333333,0.16,1.7866666666666664,0.5153333333333333,1.7248891951041032,2.7985074626865676,2.2402225284374366,16.58774903677374,0,0,0
123,5.86,3.70375,0.34,2.19,3.70375,5.066593840033214,2.2831050228310503,8.770343840033213,11.512449158292679,0,0,0
124,15.23,13.1975,0.72,3.9025,13.1975,-7.860983103167761,1.2812299807815504,5.336516896832239,,0,0,0
125,0.83,0.5316666666666667,0.13,1.5766666666666669,0.5316666666666667,-0.07570446568667621,3.1712473572938684,0.4559622009799905,,0,0,0
126,4.91,4.2615,0.33,2.195,4.2615,-2.825387055121845,2.277904328018223,1.4361129448781549,,0,0,0
127,16.39,14.923333333333332,2.99,4.513333333333333,14.923333333333332,108.91969178268464,1.1078286558345645,123.84302511601797,1.3051118936141308,0,0,0
128,1.38,0.6789999999999999,0.22,1.5666666666666669,0.6789999999999999,1.7450031936161334,3.191489361702127,2.4240031936161333,12.250604067466902,0,0,0
129,6.11,4.593,0.39,2.18,4.593,-0.806564019933401,2.293577981651376,3.786435980066599,,0,0,0
130,17.18,15.5675,2.78,4.13,15.5675,138.19104565093457,1.2106537530266344,153.75854565093456,1.3973330292155934,0,0,0
131,0.69,0.4403333333333333,0.3,1.57,0.4403333333333333,0.7637064597696155,3.184713375796178,1.2040397931029487,11.023621903308207,0,0,0
