u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
1.5633333333333332,0.5006666666666667,0.11,1.04,27.24084861115649,8.59688278745847,2.8302943852948537
2.1775,3.54875,0.23,4.79,14.649101403235154,8.684337673200183,7.343239408885744
1.5566666666666666,0.4896666666666667,0.21,0.75,13.109251845364824,7.8682889539972685,1.6040559866155113
2.19,3.98,1.52,4.53,2.4678705594788535,4.609198388397239,22.310989092905277
1.85,0.4455,1.14,0.47,3.448989911906233,5.14000424274223,1.0440227749823323
2.29,3.5879999999999996,1.53,3.84,2.5522940611621228,4.338284698572226,11.114762781581705
1.5733333333333333,0.434,0.31,0.64,8.046929532076042,7.488189039148662,1.337209090292091
2.0033333333333334,3.8813333333333335,0.44,4.09,10.177837650659969,6.707705495892523,5.344746902250882
1.5666666666666669,0.5786666666666667,0.1,0.84,37.39184550372476,8.203969538887447,2.3799807821868453
2.175,4.314,0.29,4.72,15.255568277966066,7.2562201316668515,6.694690219948703
1.5666666666666669,0.515,0.15,1.04,17.824332391452327,8.438636899411895,2.500542358742412
1.5666666666666669,0.569,0.12,1.33,23.13000566043724,8.902625860037363,3.396872651903665
1.5599999999999998,0.5136666666666666,0.11,1.19,26.190812099681132,8.81136176035834,3.2065840313117326
1.61,0.4153333333333333,0.46,0.57,5.380408458094788,6.980314652782614,1.2752646460747943
2.1725,2.8175,0.38,3.22,9.674876431868377,7.0952370247264,4.512604118529792
1.5566666666666666,0.5103333333333334,0.15,0.88,19.26598627033951,8.213052440714241,2.10119309491741
2.1675,0.6225,0.15,1.23,20.507804388385548,8.214960051500839,2.5198778226325973
1.5599999999999998,0.5333333333333333,0.21,0.72,14.758619332850811,7.760424662038952,1.4602746249228693
2.215,3.755,0.46,4.54,6.812602552841997,7.282062439353565,6.6294750937612195
1.5533333333333337,0.5640000000000001,0.1,1.16,31.1344826944979,8.719637388160242,3.2766257959503693
2.16,3.80875,0.28,4.98,11.627647012732409,8.400523217312017,7.393447713946581
1.5533333333333337,0.4603333333333333,0.05,1.06,76.69251608229672,8.906016325063927,4.705879629299857
1.7866666666666664,0.5153333333333333,0.16,1.46,15.27471027903135,8.927650005049415,3.190002484527982
1.5766666666666669,0.5316666666666667,0.13,0.83,25.070549134255213,8.159949527186662,2.058352107663564
2.195,4.2615,0.33,4.91,11.444353107108954,7.453869149851332,6.884255771049819
1.5666666666666669,0.6789999999999999,0.22,1.38,10.298464829923804,8.461098313736986,3.0506358007749155
1.57,0.4403333333333333,0.3,0.69,7.9675990689291964,7.577858405865287,1.4876163443687307
2.2025,3.49275,0.38,4.61,7.697329513236288,7.999642507083862,6.925016334221394
1.5933333333333335,0.6846666666666668,0.29,0.81,11.679447292728767,7.412276268654264,1.4019440978084934
2.1925,4.255,0.42,4.74,9.079561652406012,6.989779423073498,6.40511398523185
1.85,0.575,1.18,0.63,3.1309195303367727,5.082018918215086,2.032438634195646
2.6033333333333335,4.496666666666667,0.99,4.93,3.460965956174455,5.3767719586089004,7.647748628626299
1.7400000000000002,0.4525,0.42,0.83,4.84879553279124,7.312045700811343,2.029077462894315
2.5733333333333337,4.026666666666666,1.23,4.22,3.22230726876678,4.717834267710071,6.345413934649891
1.5733333333333333,0.4766666666666666,0.33,0.58,9.368454028225154,7.29168982996324,1.038882189414347
2.1725,3.8975,0.43,4.53,7.955893974394428,7.181204316689486,6.381960344223291
