u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
4.625580451079981,0.0153092991217785,0.75,0.055,2.2969478423570417,5.594806513427903,0.1082597626264079
5.612370947310377,0.0153092991217785,0.91,0.041,2.0818876302589207,4.973181877597889,0.07492564849070145
11.533113924692753,0.0153092991217785,1.87,0.046,0.9728764088168116,2.450835424370375,0.08633359616249418
13.383346105124744,0.0153092991217785,2.17,0.042,0.8653228395367738,1.9647286453309323,0.07781354811140072
8.942788872087963,0.7935883525311068,1.45,1.14,1.879665749713435,3.3009978049911015,1.6029217584196007
11.101393082591954,2.3726672172613705,1.8,3.8,1.379736428464202,2.4784613160193865,5.732368917768761
6.784184661583972,0.5909609098097346,1.1,1.23,1.920963652491806,4.26835025836636,2.0710589784340083
4.625580451079981,0.7727950359050375,0.75,0.94,4.459377299507828,5.5417925304083395,1.1908872867360092
8.017672781871967,1.9806931592524069,1.3,3.7,1.723838260148718,3.5867391121395857,5.975167506260974
9.25116090215996,0.5553062574145964,1.5,2.94,1.04691166819964,3.120544724801116,6.045772031135795
10.484649022447956,1.1106125148291928,1.7,1.47,1.7502458150213789,2.735761449720498,1.9612053134988334
10.484649022447956,2.2212250296583855,1.7,7.35,1.0379375597762583,2.568066556335547,14.163219597521028
0.6167440601439975,0.0796743371481683,0.1,0.08,77.68977402204777,9.030958222956503,0.911151868932007
7.400928721727968,0.0202072594216368,1.2,0.024,2.9023919692701785,4.016839846240975,0.02927007056685162
6.784184661583972,0.0202072594216368,1.1,0.025,2.9611290302817843,4.3240422737941,0.03159958071410327
7.709300751799968,0.0398371685740841,1.25,0.047,2.820311710406355,3.870544053204929,0.056965055088226905
7.400928721727968,0.0398371685740841,1.2,0.05,2.6576864448773354,4.0157164706455735,0.06385859954878302
9.86790496230396,0.0796743371481683,1.6,0.093,2.2486028629786348,2.988971641038416,0.11175620379956759
15.418601503599936,0.0796743371481683,2.5,0.1,1.275689493540873,1.5395659910587622,0.1317085427598026
11.101393082591954,0.1991858428704208,1.8,0.233,1.9904398436807709,2.575416815351,0.2813901116849358
24.669762405759897,0.1991858428704208,4.0,0.251,0.792806515114832,0.5087934601554434,0.447172653298729
6.96920787962717,0.0153092991217785,1.13,0.045,1.6219045254507285,4.228569404132743,0.08368180240585658
10.731346646505555,0.0153092991217785,1.74,0.033,1.1936384711708052,2.697664886532175,0.05626270125068517
13.136648481067144,0.0153092991217785,2.13,0.035,0.9488333573269884,2.023668243361362,0.061460061180375794
21.58604210503991,0.0153092991217785,3.5,0.026,0.6801344819537776,0.7372982053770409,0.04743998827906421
6.96920787962717,0.0153092991217785,1.13,0.055,1.524522904222498,4.228114522963022,0.10661168061481661
7.524277533756768,0.0153092991217785,1.22,0.039,1.5829859963913084,3.9574224909903446,0.06985909961435306
8.942788872087963,0.0153092991217785,1.45,0.034,1.4123161332544465,3.3405084802520997,0.058388759866613814
13.383346105124744,0.0153092991217785,2.17,0.028,1.0458293131757963,1.9650245768164434,0.045289948381316496
3.700464360863984,0.0153092991217785,0.6,0.062,2.78103428223211,6.248380915415058,0.12706904178062192
4.317208421007981,0.0153092991217785,0.7,0.05,2.530764500816095,5.805150396782418,0.09710021157189179
5.550696541295977,0.0153092991217785,0.9,0.034,2.275398701589776,5.010349896600727,0.05881009832400613
11.101393082591954,0.0153092991217785,1.8,0.027,1.2897687725693818,2.5811306006699177,0.04252587595253865
6.96920787962717,0.0153092991217785,1.13,0.043,1.6477168177591195,4.2286603862391186,0.07909588136550091
8.449393623972766,0.0153092991217785,1.37,0.041,1.3828596668882291,3.5431369843580267,0.0744055136547545
10.299625804404757,0.0153092991217785,1.67,0.032,1.2626030593869657,2.8405322991675903,0.05391092949494601
17.947252150190327,0.0153092991217785,2.91,0.03,0.7494886652754336,1.1388958234010742,0.052663981737397496
5.550696541295977,0.0153092991217785,0.9,0.037,2.192227389199339,5.010188196549064,0.06573016982157572
6.475812631511974,0.0153092991217785,1.05,0.032,2.0081400996379837,4.486030994410987,0.05394748328231943
7.09255669165597,0.0153092991217785,1.15,0.028,1.9734344433232216,4.167454543692257,0.0446905792144807
8.634416842015963,0.0153092991217785,1.4,0.024,1.8037445140554815,3.466285600086977,0.035482144100871894
4.625580451079981,0.0153092991217785,0.75,0.028,3.0259328132395527,5.596431836749875,0.04539236715728424
7.09255669165597,0.0153092991217785,1.15,0.026,2.0699745048837284,4.167544210848302,0.04010599069464399
6.784184661583972,0.0153092991217785,1.1,0.024,2.2956749282231264,4.324088791696538,0.035546375519554016
7.400928721727968,0.0153092991217785,1.2,0.022,2.2704692840433656,4.016926272763814,0.03092097238773192
