u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,0.5083682008368201,2.096993471456777,Model_148
2.1925,0.42,4.74,4.255,5.8557301765707,2.1619156214367163,7.8658285428150805,Model_148
4.18,2.48,15.4,14.19,76.53454554337887,3.68421052631579,130.0135863308239,Model_148
1.85,1.18,0.63,0.575,4.814497230710774,0.3405405405405405,4.093288673285773,Model_148
2.6033333333333335,0.99,4.93,4.496666666666667,9.455876145186672,1.8937259923175414,28.503288417360746,Model_148
4.2125,1.92,17.14,16.56,25.71881265970457,4.068842729970326,94.88602488485022,Model_148
1.7400000000000002,0.42,0.83,0.4525,3.0411372580129137,0.4770114942528735,2.9400320610463337,Model_148
2.5733333333333337,1.23,4.22,4.026666666666666,7.74122003841179,1.6398963730569944,33.02847315828515,Model_148
4.84,1.79,15.01,14.9025,15.792604092393107,3.1012396694214877,57.846394734607756,Model_148
1.5733333333333333,0.33,0.58,0.4766666666666666,0.8865267528928155,0.3686440677966102,2.7689568898276695,Model_148
2.1725,0.43,4.53,3.8975,6.138786714707432,2.085155350978136,8.03946643962199,Model_148
4.496666666666667,3.33,14.77,14.159999999999998,85.84575820940591,3.2846553002223864,160.0666961205951,Model_148
1.5599999999999998,0.13,0.68,0.5633333333333334,0.7585316073088083,0.43589743589743596,1.786823274648313,Model_148
3.1775,1.84,4.39,3.69,51.88152690534491,1.3815892997639652,40.80198698190566,Model_148
4.3774999999999995,2.23,15.49,14.875,28.97795307840756,3.538549400342662,101.99987883850574,Model_148
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,0.6153846153846154,0.6977367397625311,Model_148
2.175,0.4,5.29,4.25,7.7298658017251105,2.4321839080459773,8.707836026630659,Model_148
3.6125,0.99,15.85,14.965,19.677295648967803,4.387543252595155,38.51126333364097,Model_148
1.9,1.16,0.64,0.54,9.458859589233091,0.33684210526315794,3.985047260841986,Model_148
2.566666666666667,1.3,4.2,3.9333333333333336,10.666176341529724,1.6363636363636362,35.543890480146956,Model_148
