u_r_mm,tau_r_MPa,delta_peak_mm,tau_peak_MPa_csds,e_csds,e_pred,d_from_e_pred
15.0,3.015,1.9,4.37,1.5540138559861083,4.122253696163689,5.571821244226706
1.6652089623887931,1.3036485066778338,0.27,2.655,7.913618795998358,15.975457611438578,4.4783929131538835
3.083720300719987,0.6555920235894309,0.5,2.417,3.420782268328867,5.967162532301963,5.211176852725628
1.7885577744175924,1.959240530267265,0.29,3.214,8.412171305906568,14.890163275642387,4.929582378845372
2.7136738646335887,1.959240530267265,0.44,3.179,5.589277438658442,8.085694693047522,5.02531651473112
2.590325052604789,1.959240530267265,0.42,4.293,4.906645401620717,8.864495037515248,7.62333839826241
1.6652089623887931,0.6555920235894309,0.27,1.816,6.93036783035678,15.975457611438578,3.36734711900356
3.392092330791986,1.3488617496840016,0.55,3.752,3.397073578572742,4.438123242834202,8.40013659585282
7.400928721727968,0.0217962758401608,1.2,0.0307,2.3157906832156443,1e-06,-0.03347357596465617
12.334881202879949,0.0508579769603752,2.0,0.131,0.9614433155844516,3.658549377315161,0.23148345986725008
11.101393082591954,0.0145308505601072,1.8,0.046,0.9937795159488002,2.477992668728014,0.0875982920749083
4.625580451079981,0.0153092991217785,0.75,0.055,2.2969478423570417,0.1964345828332128,-0.11111035435516656
5.612370947310377,0.0153092991217785,0.91,0.041,2.0818876302589207,1e-06,-0.0585038572799851
11.533113924692753,0.0153092991217785,1.87,0.046,0.9728764088168116,2.9421844445300067,0.08512924295524926
13.383346105124744,0.0153092991217785,2.17,0.042,0.8653228395367738,4.229274131256837,0.07536761604649911
8.942788872087963,0.7935883525311068,1.45,1.14,1.879665749713435,1e-06,-1.2587780806124853
11.101393082591954,2.3726672172613705,1.8,3.8,1.379736428464202,2.477992668728014,5.732497943254852
6.784184661583972,0.5909609098097346,1.1,1.23,1.920963652491806,1e-06,-1.623434121822814
4.625580451079981,0.7727950359050375,0.75,0.94,4.459377299507828,0.1964345828332128,-1.220506880505013
8.017672781871967,1.9806931592524069,1.3,3.7,1.723838260148718,1e-06,-4.6804964305394225
9.25116090215996,0.5553062574145964,1.5,2.94,1.04691166819964,0.1920115026253839,-8.622215414422318
10.484649022447956,1.1106125148291928,1.7,1.47,1.7502458150213789,1.747047016960174,2.1694275290413962
0.6167440601439975,0.0796743371481683,0.1,0.08,77.68977402204777,27.116470713155543,0.0945328005999718
7.400928721727968,0.0202072594216368,1.2,0.024,2.9023919692701785,1e-06,-0.023000435471303152
6.784184661583972,0.0202072594216368,1.1,0.025,2.9611290302817843,1e-06,-0.024800753445890195
7.709300751799968,0.0398371685740841,1.25,0.047,2.820311710406355,1e-06,-0.044777904050306155
7.400928721727968,0.0398371685740841,1.2,0.05,2.6576864448773354,1e-06,-0.05017886733812944
