sample_id,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated,a_csds,b_csds,c_csds,d_csds,e_csds,csds_converged,csds_iterations
160,1.07,14.3,3.895,13.0025,0,0,0,13.0025,7.31537030166651,1.2836970474967908,20.31787030166651,3.3651116062820727,True,4
162,0.24,6.09,2.175,4.409,0,0,0,4.409,3.4511384121172224,2.298850574712644,7.860138412117222,13.51532340405409,True,9
163,0.5,16.89,3.8625,15.2325,0,0,0,15.2325,3.655467066441505,1.2944983818770228,18.887967066441504,8.601598077321363,True,8
165,0.23,5.85,2.1675,4.43275,0,0,0,4.43275,2.80147060168731,2.306805074971165,7.23422060168731,14.978792929839672,True,10
166,0.75,16.87,3.8625,15.795,0,0,0,15.795,3.4935563581594646,1.2944983818770228,19.288556358159465,5.80409010742513,True,6
169,3.93,16.61,4.553333333333334,16.513333333333332,0,0,0,16.513333333333332,14.198414912137522,1.0980966325036603,30.71174824547085,1.4757256498343354,True,7
172,1.88,15.76,4.13,14.8875,0,0,0,14.8875,14.997831291761866,1.2106537530266344,29.885331291761865,2.0220034481788933,True,5
174,0.27,5.18,2.18,4.452999999999999,0,0,0,4.452999999999999,1.5717255574854088,2.293577981651376,6.024725557485408,14.53141002624948,True,10
175,1.85,17.29,4.1125,16.4125,0,0,0,16.4125,14.29966321375646,1.21580547112462,30.71216321375646,2.100213453400296,True,5
178,2.12,13.69,4.1575,12.965,0,0,0,12.965,17.833183532648366,1.2026458208057729,30.79818353264837,1.8070468059221405,True,5
180,0.52,5.54,2.9225,4.727,0,0,0,4.727,2.527730037291942,1.710863986313088,7.254730037291942,6.676100463922199,True,7
181,0.9,17.84,3.925,14.94,0,0,0,14.94,13.029435602700998,1.2738853503184715,27.969435602701,3.4621547532157915,True,5
184,3.98,15.12,4.75,14.85,0,0,0,14.85,45.66147902358684,1.0526315789473684,60.51147902358684,1.247654255784918,True,7
186,0.28,5.16,2.1775,3.81425,0,0,0,3.81425,3.130431077528114,2.296211251435132,6.944681077528114,11.220553160809676,True,8
187,0.7,16.09,3.88,11.71,0,0,0,11.71,14.993697153202367,1.288659793814433,26.70369715320237,3.931657649182005,True,5
190,2.95,17.57,4.833333333333333,15.660000000000002,0,0,0,15.660000000000002,133.5433516563727,1.0344827586206895,149.2033516563727,1.194201194728314,True,7
192,0.26,5.06,2.06,2.78625,0,0,0,2.78625,5.537602820988881,2.4271844660194173,8.323852820988881,9.67711986223781,True,7
193,0.48,15.79,3.91,12.4225,0,0,0,12.4225,7.40432598861948,1.278772378516624,19.82682598861948,7.151633571136485,True,7
195,0.49,5.79,2.1875,4.2505,0,0,0,4.2505,7.336962282580967,2.2857142857142856,11.587462282580969,5.320972461121309,True,6
196,1.09,17.51,3.86,14.9375,0,0,0,14.9375,16.553387035413166,1.2953367875647668,31.490887035413166,2.8169440230151195,True,3
198,0.4,5.46,2.9125,4.44825,0,0,0,4.44825,2.433780880581544,1.7167381974248928,6.882030880581543,8.688241808193261,True,8
199,2.66,17.29,4.3725000000000005,16.490000000000002,0,0,0,16.490000000000002,37.39926722177272,1.1435105774728416,53.88926722177272,1.504191322919805,True,6
202,5.68,13.66,6.0,13.51,0,0,0,13.51,45.684267603740025,0.8333333333333334,59.19426760374002,0.9611956816495174,True,9
244,2.29,30.401,13.0,2.493,0,0,0,2.493,191.4872115140508,0.3846153846153846,193.9802115140508,0.5794840127037909,True,8
