sample_id,sigma_n_MPa,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated,a_csds,b_csds,c_csds,d_csds,e_csds,csds_converged,csds_iterations
182,0.5,0.22,0.66,1.49,0.4575,0,0,0,0.4575,0.5513217275318822,3.3557046979865772,1.0088217275318825,12.75282127395527,True,9
185,0.5,0.13,1.09,1.5666666666666669,0.5446666666666667,0,0,0,0.5446666666666667,0.9576325699215577,3.191489361702127,1.5022992365882244,21.905585532286455,True,11
188,0.5,1.1,0.64,2.06,0.593,0,0,0,0.593,1.513280437089641,2.4271844660194173,2.1062804370896413,3.268679989536249,True,4
191,0.5,0.1,1.15,1.64,0.5823333333333333,0,0,0,0.5823333333333333,0.8468851223123651,3.048780487804878,1.4292184556456984,32.276683117014976,True,15
194,0.5,0.47,0.9,1.5599999999999998,0.6583333333333333,0,0,0,0.6583333333333333,2.1587521490528645,3.2051282051282053,2.8170854823861977,5.267358968714256,True,6
197,0.5,0.14,0.99,2.0725,0.65575,0,0,0,0.65575,0.5146811885872504,2.4125452352231607,1.1704311885872505,25.510159206488257,True,14
200,0.5,1.09,0.51,1.85,0.452,0,0,0,0.452,3.5013968656521643,2.702702702702702,3.953396865652164,3.161464776235545,True,4
203,0.4,8.16,0.64,15.0,0.4826666666666666,0,0,0,0.4826666666666666,11.163229285157737,0.3333333333333333,11.645895951824402,0.3680224492093827,True,12
204,0.8,9.63,1.15,15.0,0.9263333333333332,0,0,0,0.9263333333333332,31.67109901569681,0.3333333333333333,32.59743234903014,0.356302565715436,True,13
205,1.2,8.17,1.67,15.0,1.391,0,0,0,1.391,14.757831874738754,0.3333333333333333,16.148831874738754,0.3859250855203011,True,12
206,1.8,7.68,2.36,15.0,1.9943333333333333,0,0,0,1.9943333333333333,14.016889640854824,0.3333333333333333,16.011222974188158,0.404258783461519,True,12
207,2.4,12.65,2.87,17.5,2.478,0,0,0,2.478,85.54466261294648,0.2857142857142857,88.02266261294648,0.3027127732951231,True,16
209,0.01,0.55,0.015,3.75,0.014,0,0,0,0.014,0.0024195869070291,1.3333333333333333,0.0164195869070291,8.395940887010124,True,8
