u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
7.709300751799968,1.25,0.047,0.0398371685740841,0.0599181190992916,0.006096532164609927,-0.013110629391345885,Model_147
7.400928721727968,1.2,0.05,0.0398371685740841,0.0691035642872409,0.006755908870356748,0.08782476888101787,Model_147
9.86790496230396,1.6,0.093,0.0796743371481683,0.1168485947456786,0.009424492874147658,-0.5606257115765749,Model_147
15.418601503599936,2.5,0.1,0.0796743371481683,0.1382071285744905,0.006485672515542476,-1.5424305523037418,Model_147
11.101393082591954,1.8,0.233,0.1991858428704208,0.2936108391225939,0.020988356890574957,-0.6485049329665094,Model_147
24.669762405759897,4.0,0.251,0.1991858428704208,0.3486439411004653,0.01017439875875726,-1.1003590678660657,Model_147
6.96920787962717,1.13,0.045,0.0153092991217785,0.1282508091124622,0.0064569748495445015,0.2222402266915635,Model_147
10.731346646505555,1.74,0.033,0.0153092991217785,0.0767360582718792,0.003075103347886519,-0.8546943308589992,Model_147
13.136648481067144,2.13,0.035,0.0153092991217785,0.084918211890545,0.002664302089718154,-1.333017744760694,Model_147
21.58604210503991,3.5,0.026,0.0153092991217785,0.0497004643595224,0.0012044820386007456,-1.8019375468838499,Model_147
6.96920787962717,1.13,0.055,0.0153092991217785,0.1748236568427627,0.007891858149443279,0.2338639543986134,Model_147
7.524277533756768,1.22,0.039,0.0153092991217785,0.101798731133,0.0051832218874212415,0.035227879874141,Model_147
8.942788872087963,1.45,0.034,0.0153092991217785,0.0808043277475788,0.003801945957386969,-0.39487611420325663,Model_147
13.383346105124744,2.17,0.028,0.0153092991217785,0.057144907312032,0.0020921524243685406,-1.3843076780500532,Model_147
3.700464360863984,0.6,0.062,0.0153092991217785,0.2089408325663659,0.016754653998484734,1.442302977415004,Model_147
4.317208421007981,0.7,0.05,0.0153092991217785,0.1511865819416263,0.01158155806346871,1.1903138174537315,Model_147
5.550696541295977,0.9,0.034,0.0153092991217785,0.0808043132698056,0.006125357375790117,0.7064444872306459,Model_147
11.101393082591954,1.8,0.027,0.0153092991217785,0.0533920928536075,0.0024321271933284284,-0.9475689639141525,Model_147
6.96920787962717,1.13,0.043,0.0153092991217785,0.1192948488319123,0.006169998189564745,0.21991594595959096,Model_147
8.449393623972766,1.37,0.041,0.0153092991217785,0.110474685629328,0.004852419217832874,-0.24434661308321415,Model_147
10.299625804404757,1.67,0.032,0.0153092991217785,0.0727151531655665,0.003106908989481426,-0.7532664703138625,Model_147
17.947252150190327,2.91,0.03,0.0153092991217785,0.0648230709457182,0.0016715650813253803,-1.8359846828753401,Model_147
5.550696541295977,0.9,0.037,0.0153092991217785,0.0932763980537016,0.006665830085418655,0.7093363308513587,Model_147
6.475812631511974,1.05,0.032,0.0153092991217785,0.0727151532900571,0.004941464773746648,0.37426987163240355,Model_147
7.09255669165597,1.15,0.028,0.0153092991217785,0.0571449073080459,0.003947800661634551,0.16164053305799664,Model_147
8.634416842015963,1.4,0.024,0.0153092991217785,0.0425135141995001,0.0027795739352324904,-0.32033979642763777,Model_147
4.625580451079981,0.75,0.028,0.0153092991217785,0.0571449073061767,0.006053294347839644,1.0530928524081755,Model_147
7.09255669165597,1.15,0.026,0.0153092991217785,0.0497004644407819,0.0036658149000892257,0.1592906031788912,Model_147
6.784184661583972,1.1,0.024,0.0153092991217785,0.0425135132532064,0.0035376395539322594,0.2599470338398948,Model_147
7.400928721727968,1.2,0.022,0.0153092991217785,0.0356134086242683,0.0029725999029569686,0.05402826725786003,Model_147
