sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
79,-2.29806192775583,0.9468764249886001,0.8044444444444445,4.5,16.29,4.038674033149171,13.843333333333334,3.8241252302025783,3.2488888888888887,202.38953333333333,3.0762962962962965
80,3.1798253589344223,0.4814102564102564,0.07036247334754799,1.5633333333333332,0.17196666666666666,9.454545454545455,0.5006666666666667,4.551515151515152,0.6652452025586355,0.5206933333333333,0.3202558635394457
81,2.513890056084152,0.740866388308977,0.10562571756601606,2.1775,0.5008250000000001,20.82608695652174,3.54875,15.429347826086957,2.1997703788748564,16.9985125,1.6297359357060848
82,2.3974878547631056,0.9150743099787685,0.09929980903882878,3.9275,1.5317250000000002,36.23076923076923,12.93,33.15384615384615,3.597708465945258,182.70090000000002,3.2921705919796307
83,2.292257992650373,0.652888888888889,0.1349036402569593,1.5566666666666666,0.32689999999999997,3.5714285714285716,0.4896666666666667,2.331746031746032,0.48179871520342615,0.36725,0.31456102783725914
84,-1.6886676271670409,0.8785871964679911,0.6940639269406393,2.19,3.3287999999999998,2.980263157894737,3.98,2.6184210526315788,2.068493150684932,18.029400000000003,1.817351598173516
85,2.16424208023995,0.9172697368421053,0.11917098445595856,3.86,1.7756,33.04347826086956,13.9425,30.309782608695652,3.937823834196891,211.92600000000002,3.6120466321243527
86,-0.2926447539391019,0.947872340425532,0.6162162162162161,1.85,2.109,0.41228070175438597,0.4455,0.3907894736842106,0.254054054054054,0.209385,0.2408108108108108
87,-0.9972623460300397,0.934375,0.6681222707423581,2.29,3.5037000000000003,2.5098039215686274,3.5879999999999996,2.345098039215686,1.6768558951965065,13.777919999999998,1.5668122270742357
89,1.5828810664681332,0.678125,0.19703389830508475,1.5733333333333333,0.4877333333333333,2.064516129032258,0.434,1.4,0.4067796610169492,0.27776,0.27584745762711865
90,2.0388795894442238,0.9489812550937247,0.21963394342762063,2.0033333333333334,0.8814666666666667,9.295454545454545,3.8813333333333335,8.821212121212122,2.0415973377703827,15.874653333333333,1.9374376039933445
91,-1.0207052982778715,0.9543554006968642,0.6206060606060606,4.125,10.56,5.60546875,13.695,5.349609375,3.4787878787878785,196.52325,3.3200000000000003
92,3.532236057523773,0.6888888888888889,0.06382978723404255,1.5666666666666669,0.1566666666666667,8.399999999999999,0.5786666666666667,5.786666666666666,0.5361702127659573,0.48607999999999996,0.3693617021276595
93,2.561614395209624,0.9139830508474577,0.13333333333333333,2.175,0.6307499999999999,16.275862068965516,4.314,14.87586206896552,2.170114942528736,20.36208,1.983448275862069
94,-0.8622022500829074,0.9321669736034378,0.5430303030303031,4.125,9.24,7.272321428571428,15.185,6.779017857142857,3.9490909090909088,247.36365,3.681212121212121
95,2.6832685249120574,0.4951923076923077,0.09574468085106382,1.5666666666666669,0.23500000000000001,6.933333333333334,0.515,3.4333333333333336,0.6638297872340425,0.5356000000000001,0.3287234042553191
96,1.8954180793785411,0.6975217391304348,0.1438202247191011,2.225,0.7120000000000001,17.96875,4.01075,12.53359375,2.5842696629213484,23.0618125,1.8025842696629213
97,0.5061891284246839,0.8079881656804734,0.24968152866242038,3.925,3.8465,17.24489795918367,13.655,13.933673469387754,4.305732484076433,230.76949999999997,3.478980891719745
98,2.9926533534771496,0.4278195488721804,0.07659574468085105,1.5666666666666669,0.18800000000000003,11.083333333333334,0.569,4.741666666666666,0.8489361702127659,0.7567699999999999,0.36319148936170204
99,1.596343887163216,0.7193761814744801,0.17451205510907003,2.1775,0.8274500000000001,13.921052631578947,3.8055,10.014473684210525,2.4293915040183696,20.131095,1.7476463834672789
100,0.6098690192700333,0.9051943913320587,0.2897800776196637,3.865,4.328800000000001,14.00892857142857,14.2025,12.680803571428571,4.059508408796895,222.837225,3.6746442432082795
101,3.134871582766081,0.43165266106442574,0.07051282051282053,1.5599999999999998,0.17159999999999997,10.818181818181818,0.5136666666666666,4.669696969696969,0.7628205128205129,0.6112633333333333,0.32927350427350427
102,1.9693428680725353,0.7718866171003718,0.1517241379310345,2.175,0.71775,16.3030303030303,4.15275,12.584090909090909,2.473563218390805,22.341795,1.9093103448275865
103,1.2608836750317525,0.9382003955174687,0.2037940379403794,4.6125,4.33575,16.138297872340427,14.2325,15.140957446808512,3.288888888888889,215.907025,3.0856368563685637
104,0.8219002232751096,0.7286549707602339,0.2857142857142857,1.61,0.7406,1.2391304347826084,0.4153333333333333,0.9028985507246375,0.3540372670807453,0.23673999999999995,0.25797101449275356
105,1.9978762793968374,0.8749999999999999,0.17491369390103567,2.1725,0.82555,8.473684210526317,2.8175,7.414473684210526,1.4821634062140392,9.07235,1.2968929804372842
106,-1.3608258748182158,0.9972875226039782,0.9557142857142857,7.0,46.830000000000005,1.6532137518684604,11.03,1.6487294469357248,1.58,121.9918,1.5757142857142856
107,2.7759577180231494,0.5799242424242426,0.09635974304068522,1.5566666666666666,0.23349999999999999,5.866666666666667,0.5103333333333334,3.402222222222223,0.5653104925053534,0.4490933333333334,0.32783725910064243
108,2.4192830318624585,0.7251470588235295,0.1103448275862069,2.175,0.5219999999999999,21.25,3.69825,15.409374999999999,2.344827586206897,18.861074999999996,1.700344827586207
109,2.058860199115877,0.8952156334231806,0.12184057031756318,3.8575,1.8130249999999999,31.574468085106385,13.285,28.265957446808514,3.847051198963059,197.1494,3.4439403758911213
110,2.9014764999058578,0.5060975609756098,0.06920415224913494,2.1675,0.325125,8.200000000000001,0.6225,4.15,0.5674740484429066,0.7656750000000001,0.28719723183391005
111,2.3596096352366103,0.7311093247588424,0.11547344110854503,2.165,0.54125,24.88,4.547499999999999,18.189999999999998,2.8729792147806004,28.285449999999994,2.1004618937644337
112,2.0893252577397257,0.8847305389221557,0.1119902617163725,4.1075,1.88945,39.934782608695656,16.2525,35.33152173913044,4.472306755934267,298.55842500000006,3.956786366402922
113,2.44698765343629,0.7407407407407408,0.13461538461538464,1.5599999999999998,0.32759999999999995,3.4285714285714284,0.5333333333333333,2.5396825396825395,0.46153846153846156,0.384,0.3418803418803419
114,1.5162839724129258,0.8270925110132158,0.20767494356659144,2.215,1.0189,9.869565217391305,3.755,8.16304347826087,2.049661399548533,17.0477,1.6952595936794583
115,-1.585274289889009,0.925588989969676,0.6239669421487604,4.84,14.6168,4.731788079470198,13.226666666666668,4.379690949227373,2.9524793388429753,189.00906666666668,2.732782369146006
116,3.3291856212809976,0.4862068965517242,0.06437768240343346,1.5533333333333337,0.15533333333333338,11.599999999999998,0.5640000000000001,5.640000000000001,0.7467811158798281,0.65424,0.3630901287553648
117,2.231393255329045,0.764809236947791,0.12962962962962962,2.16,0.6048000000000001,17.785714285714285,3.80875,13.60267857142857,2.305555555555556,18.967575,1.763310185185185
118,1.0418948031967865,0.8754214430209035,0.21649484536082475,3.88,3.2592,17.654761904761905,12.9825,15.455357142857144,3.8221649484536084,192.530475,3.346005154639175
119,4.296926593038415,0.4342767295597484,0.03218884120171673,1.5533333333333337,0.07766666666666669,21.2,0.4603333333333333,9.206666666666665,0.6824034334763948,0.48795333333333335,0.29635193133047205
120,2.3476331599844196,0.6805243445692883,0.11072664359861592,2.1675,0.5202,22.25,3.634,15.141666666666667,2.463667820069204,19.405559999999998,1.6765859284890425
121,1.4649104118511587,0.7964376590330788,0.1507472384665367,3.8475,2.23155,27.10344827586207,12.52,21.586206896551726,4.085769980506822,196.8144,3.254061078622482
122,2.5238230551335223,0.35296803652968034,0.08955223880597016,1.7866666666666664,0.28586666666666666,9.125,0.5153333333333333,3.220833333333333,0.8171641791044777,0.7523866666666666,0.2884328358208956
123,1.6500755766334225,0.6320392491467576,0.15525114155251143,2.19,0.7446,17.235294117647058,3.70375,10.893382352941176,2.675799086757991,21.703975,1.6912100456621004
124,1.292329634021964,0.8665462902166776,0.18449711723254325,3.9025,2.8097999999999996,21.15277777777778,13.1975,18.32986111111111,3.9026265214606024,200.997925,3.381806534272902
125,3.0864547539836704,0.640562248995984,0.08245243128964058,1.5766666666666669,0.2049666666666667,6.384615384615384,0.5316666666666667,4.08974358974359,0.5264270613107821,0.44128333333333336,0.3372093023255814
